ID,IntRate,LoanAmt,LoanTerm,Debt2Inc,Home__MORT,Home__OWN,Home__RENT,MonthlyInc,RevCredBal,FICO,EmpLen
81174,8.9,20000,0,14.9,1,0,0,6541.67,14272.0,737,0
99592,12.12,19200,0,28.36,1,0,0,4583.33,11140.0,717,2
80059,21.98,35000,1,23.81,1,0,0,11500.0,21977.0,692,2
33182,11.71,12000,0,18.78,0,0,1,3195.0,14469.0,697,9
62403,15.31,6000,0,20.05,0,1,0,4891.67,10391.0,672,3
48808,7.9,10000,0,26.09,0,0,1,2916.67,15957.0,722,10
76404,14.33,14675,0,26.92,0,0,1,3150.0,7246.0,687,8
15867,6.91,7000,0,7.1,0,0,1,5000.0,7612.0,717,3
94971,19.72,2000,0,10.29,0,0,1,3575.0,12036.0,672,6
36911,14.27,10625,0,12.54,1,0,0,4250.0,10767.0,667,0
53853,7.62,9600,0,3.45,0,0,1,11250.0,4606.0,727,0
62127,12.12,10000,0,17.72,0,0,1,9000.0,20317.0,697,7
44987,9.76,10000,0,7.13,0,0,1,2733.33,6112.0,732,3
99483,19.05,30000,1,21.25,1,0,0,6250.0,34927.0,697,6
28798,17.99,6500,1,19.63,0,0,1,4100.0,11697.0,667,2
24168,11.99,17400,0,12.47,0,0,1,6833.33,26587.0,697,7
10356,16.82,4000,1,13.71,1,0,0,4500.0,20804.0,672,3
46027,7.9,7200,0,24.82,0,0,1,5416.67,12017.0,707,7
2238,14.42,8000,0,24.63,0,0,1,2964.17,8928.0,677,6
65278,15.31,8000,0,15.46,1,0,0,2916.67,7152.0,677,5
4227,8.59,3000,0,3.72,1,0,0,4167.0,7074.0,767,5
50182,7.9,14500,0,4.85,1,0,0,3958.33,9598.0,762,4
87023,21.0,23850,1,28.81,1,0,0,5833.33,25968.0,687,9
46120,12.12,14000,0,14.93,1,0,0,10583.33,35457.0,687,2
94582,15.8,16000,1,11.94,0,0,1,5250.0,154.0,687,3
39591,7.9,7200,0,7.98,0,0,1,5666.67,8783.0,722,3
78862,7.62,20125,0,4.29,1,0,0,3750.0,73952.0,832,1
98029,17.27,3200,0,8.36,1,0,0,2500.0,6619.0,672,3
95579,11.14,12725,0,22.15,0,0,1,4416.67,4079.0,722,3
4868,19.13,5500,0,3.58,0,0,1,12000.0,0.0,662,8
26822,21.74,15650,0,13.86,0,0,1,3700.0,10605.0,662,4
98445,17.27,9000,0,25.22,0,0,1,5166.67,5852.0,677,10
14958,11.86,5000,0,4.0,0,0,1,5577.0,1069.0,717,1
14754,10.38,3000,0,15.21,0,0,1,3083.33,3098.0,712,2
26888,7.49,5450,1,2.48,1,0,0,4600.0,4326.0,787,10
81759,12.12,14000,0,11.38,1,0,0,4500.0,18583.0,707,5
16667,17.44,3000,0,15.79,0,0,1,7952.0,12578.0,662,8
92046,17.27,32000,1,15.61,0,0,1,9250.0,32566.0,702,2
88279,21.49,22250,1,28.87,0,0,1,4166.67,14107.0,667,9
82406,11.14,16450,0,7.57,0,0,1,7500.0,2928.0,727,1
17143,12.98,2500,0,16.45,0,0,1,1100.0,5019.0,672,4
